"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05016","mmu05016","Huntington disease","50/1003","302/8997",0.00253612186114574,0.013614969991414,0.00978854051670284,"14810/11771/11772/71770/11773/56444/51897/329015/76559/53623/12287/12367/12864/16594/13191/69654/67665/13385/20512/20511/14799/14800/14802/108071/15114/15194/16438/16572/16574/16573/16593/74764/269881/26414/56717/14812/641340/75669/225326/18795/18797/19182/19181/19185/18798/12421/53857/238463/29869/74781",50
"mmu04972","mmu04972","Pancreatic secretion","23/1003","114/8997",0.00328258432214345,0.0173184621133775,0.0124511819115786,"224129/11512/11514/11515/11928/98660/11931/11938/67972/11941/20535/54403/16438/16531/18750/18795/18797/381290/320707/18798/80718/20496/20544",23
"mmu04928","mmu04928","Parathyroid hormone synthesis, secretion and action","22/1003","108/8997",0.00352515055635784,0.0182829842414492,0.0131446291931987,"224129/11512/11514/11515/11836/109689/216869/109880/14673/14674/16438/18750/17258/17261/18577/238871/18795/18797/213498/18578/18798/110157",22
"mmu05100","mmu05100","Bacterial invasion of epithelial cells","17/1003","76/8997",0.00360569322127253,0.0183470252261539,0.0131906717312218,"12927/12402/12488/12928/12929/12386/12387/622434/13429/103967/140580/140579/14083/20418/13043/83767/73178",17
"mmu05205","mmu05205","Proteoglycans in cancer","36/1003","205/8997",0.00365741352547512,0.0183470252261539,0.0131906717312218,"11735/11733/109676/11836/69632/109880/12367/12402/12387/13869/108058/14083/327826/18479/14733/75705/16438/12322/12323/12325/18750/72508/56717/17931/18803/232807/19045/19247/110157/19878/20544/17126/20662/13043/20848/21844",36
"mmu04520","mmu04520","Adherens junction","16/1003","71/8997",0.00432458392031019,0.0213439141873374,0.0153452977817458,"21872/108100/13000/13001/12386/12387/12388/380928/26409/93742/19268/20411/83767/245880/73178/22612",16
"mmu04510","mmu04510","Focal adhesion","35/1003","201/8997",0.00474136131983391,0.0230294692677647,0.016557134767674,"12927/109880/12334/12928/12929/12387/13367/11855/14083/18479/56637/16404/18750/26414/107589/17931/224105/18481/214230/18720/18719/18717/232807/19045/19211/107746/70549/110157/19417/232906/19878/20418/20662/21960/22793",35
"mmu03013","mmu03013","Nucleocytoplasmic transport","23/1003","118/8997",0.00513481908646633,0.0242286848729695,0.0174193159217428,"326622/56215/13680/218210/13628/75751/103468/227720/18141/18226/19069/269966/18949/107939/19386/19704/19826/51796/331401/212999/108989/72322/65246",23
"mmu00564","mmu00564","Glycerophospholipid metabolism","20/1003","98/8997",0.00514661606778763,0.0242286848729695,0.0174193159217428,"110911/12647/380921/320127/217480/56077/110197/110524/104418/331374/333433/225010/99010/64898/26394/68671/55979/68262/50767/227333",20
"mmu04919","mmu04919","Thyroid hormone signaling pathway","23/1003","120/8997",0.00634519100278394,0.0294186128310892,0.0211506366759465,"11928/98660/11931/11938/12387/56637/18750/19014/56717/17977/20185/18641/56421/18795/18797/18803/54720/18798/110157/20544/20846/210789/22084",23
"mmu05211","mmu05211","Renal cell carcinoma","15/1003","68/8997",0.00693784696146012,0.0316495385557628,0.0227545702034896,"11836/11864/109880/12928/12929/18479/224105/18481/214230/19247/107746/94315/110157/20662/209446",15
"mmu04114","mmu04114","Oocyte meiosis","23/1003","121/8997",0.00703323079016951,0.0316495385557628,0.0227545702034896,"226849/26932/26931/224129/11512/11514/11515/17222/231207/208922/67579/108058/16438/12322/12323/12325/20111/20112/19045/19055/19056/21770/20874",23
"mmu04213","mmu04213","Longevity regulating pathway - multiple species","14/1003","62/8997",0.00722264725428953,0.0320308704320666,0.0230287303759956,"74370/108097/105787/108079/224129/11512/11514/11515/67605/56484/16367/384783/72508/56717",14
"mmu04270","mmu04270","Vascular smooth muscle contraction","26/1003","144/8997",0.00864399490566189,0.0377866063018934,0.0271668411320802,"224129/11512/11514/11515/11836/69632/109880/12288/14673/14674/16438/16531/18750/18754/107589/17931/18795/18797/232807/19045/234889/213498/109624/18798/110157/19878",26
"mmu04931","mmu04931","Insulin resistance","21/1003","110/8997",0.00926764664471309,0.0399422517363691,0.0287166515751673,"108097/105787/108079/56637/16367/384783/18754/20111/20112/72508/26414/56717/108155/19045/19211/19247/19268/110078/26569/20848/210789",21
"mmu04014","mmu04014","Ras signaling pathway","38/1003","235/8997",0.0114688414283138,0.0487425760703338,0.03504368214207,"14810/11350/11352/56784/72399/226525/13836/66482/18479/14389/16590/18750/16706/333050/26414/16151/18015/14811/14812/18212/224105/18481/214230/18803/19247/218397/110157/56044/64143/19414/19415/19765/19417/19418/20418/20662/240057/21844",38
