"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04213","mmu04213","Longevity regulating pathway - multiple species","33/2181","62/8997",7.93802038052039e-07,4.04461038436039e-06,2.1221107115844e-06,"74370/108097/19082/105787/108079/432530/224129/11512/11514/11515/11651/23797/67605/12359/20480/12955/56484/433759/15182/193740/15482/15512/15481/16367/384783/18747/18749/72508/56717/15461/16653/20655/20656",33
"mmu04962","mmu04962","Vasopressin-regulated water reabsorption","26/2181","44/8997",8.17375070340864e-07,4.09964683717839e-06,2.1509870272128e-06,"11512/11515/13427/13426/235661/234663/13191/69654/67665/59288/22428/13424/110350/56455/68097/192662/11857/14683/18747/18749/18195/271457/19344/19345/53869/22318",26
"mmu04137","mmu04137","Mitophagy - animal","35/2181","68/8997",1.05843727191244e-06,5.22705175821374e-06,2.74250953046138e-06,"12048/94044/12995/13000/13001/66437/56484/93739/67414/170731/59040/214952/26419/26420/26414/66734/67443/72542/245860/15461/16653/22186/20130/66922/78294/18412/20779/52440/66687/233204/56480/209446/14479/100756/84092",35
"mmu04520","mmu04520","Adherens junction","36/2181","71/8997",1.19032038947164e-06,5.78928553061206e-06,3.03750019641885e-06,"109711/11461/60595/21872/108100/12914/12540/12995/13000/13001/12385/12386/12387/12388/380928/14360/29875/26409/26413/26417/93742/11431/19246/19268/19274/19353/19354/170758/11848/20411/20779/22330/83767/245880/73178/22612",36
"mmu05031","mmu05031","Amphetamine addiction","35/2181","69/8997",1.65130613349646e-06,7.91148162466216e-06,4.15096592866354e-06,"14810/224129/17161/109731/53623/12288/70405/19058/13195/108058/14683/14799/14800/14802/433759/15182/18747/18749/12322/12323/12325/12326/18750/18751/18752/14811/14812/19045/19046/19055/19056/19049/13162/20907/21823",35
"mmu04922","mmu04922","Glucagon signaling pathway","47/2181","104/8997",2.15563665029836e-06,1.01758730109672e-05,5.33903814315383e-06,"108097/19082/105787/108079/107476/100705/11651/23797/15469/70405/19058/12914/12894/78070/108058/14682/14683/20525/14936/16438/18747/18749/12322/12323/12325/18679/102093/18746/16828/16832/18597/68263/74551/18641/18642/56421/18648/56012/18795/18797/19055/19056/56420/110078/110095/19309/18798",47
"mmu04935","mmu04935","Growth hormone synthesis, secretion and action","51/2181","116/8997",2.21641528553927e-06,1.03111493718566e-05,5.41001442694559e-06,"432530/224129/11512/11514/11515/11651/23797/12927/12288/12914/12928/12929/14083/14672/14677/14678/14679/14682/14683/14784/56637/16367/384783/16438/18747/18749/18750/18751/18752/26413/26417/26419/26420/26414/26395/26396/26397/26398/26399/56717/18795/18797/18803/18798/110157/15461/16653/20418/20662/20846/20848",51
"mmu01210","mmu01210","2-Oxocarboxylic acid metabolism","15/2181","20/8997",2.44222057582717e-06,1.1199325783436e-05,5.8760194305616e-06,"14718/14719/11428/11429/76282/108682/12035/12036/12974/67834/15926/15929/269951/71832/170718",15
"mmu04912","mmu04912","GnRH signaling pathway","42/2181","90/8997",2.67720285729506e-06,1.21039734815734e-05,6.35066652582964e-06,"432530/224129/11512/11514/11515/12288/70405/12540/108058/19229/14672/14682/14683/14784/16438/18747/18749/12322/12323/12325/18750/18751/18753/26413/26417/26419/26420/26414/26395/26396/26397/26398/26399/26400/18795/18797/18798/110157/15461/16653/20662/20779",42
"mmu00330","mmu00330","Arginine and proline metabolism","29/2181","54/8997",2.9004077448602e-06,1.29309845291684e-05,6.78457952014081e-06,"14718/14719/72535/11671/212647/110695/56752/11669/66988/17161/109731/11846/66054/14431/67092/12709/12715/76722/12716/18125/18242/18451/209027/69051/66194/56454/19125/20810/20603",29
