"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04972","mmu04972","Pancreatic secretion","37/1582","114/8997",7.87244723607988e-05,0.0003014571258694,0.000153608726557656,"432530/224129/11512/11514/11515/11928/232975/11933/11937/11938/53313/67972/11941/20535/54403/14682/14683/18750/18751/18752/18795/18797/381290/436522/320707/18798/73626/22074/19340/19353/109905/215449/53869/80718/11848/20496/20544",37
"mmu00650","mmu00650","Butanoate metabolism","14/1582","28/8997",8.69899307282901e-05,0.00032902375898468,0.00016765541859092,"11409/71911/14415/14417/97212/93747/268860/15107/15356/217666/224530/67041/214579/110446",14
"mmu04929","mmu04929","GnRH secretion","24/1582","63/8997",8.80190947602328e-05,0.00032902375898468,0.00016765541859092,"11651/23797/12288/54393/242425/14672/14682/15165/15166/15168/16519/18750/18751/18752/26413/26417/26395/26396/18795/18797/18798/110157/15461/16653",24
"mmu03015","mmu03015","mRNA surveillance pathway","34/1582","103/8997",0.000104093967433627,0.000384535362048927,0.000195941585757415,"226849/26932/26931/51792/71978/56215/56009/51786/68219/432508/269061/108062/228410/83410/70248/13680/103677/66899/233908/74737/56422/67897/76626/18458/105083/18949/19052/19053/21770/60365/20220/226517/230908/21681",34
"mmu00410","mmu00410","beta-Alanine metabolism","15/1582","32/8997",0.000124587259794705,0.000454888367157413,0.000231790250780847,"11409/72535/67689/110695/56752/11669/66054/14415/14417/56690/97212/93747/268860/227095/104776",15
"mmu04114","mmu04114","Oocyte meiosis","38/1582","121/8997",0.000138997027409374,0.000501667432259119,0.00025562671707471,"54401/22629/22631/226849/26932/26931/51792/432530/224129/11512/11514/11515/70405/19058/52563/231207/208922/67579/26965/108058/18747/18749/12322/12323/12325/20111/20112/26413/26417/26395/19052/19053/19055/19056/22627/21770/20874/24061",38
"mmu05031","mmu05031","Amphetamine addiction","25/1582","69/8997",0.000162414749660401,0.000573013835880517,0.000291981572423194,"224129/109731/53623/12288/70405/19058/108058/14683/14802/15182/18747/18749/12322/12323/12325/12326/18750/18751/18752/14812/19055/19056/19049/20907/21823",25
"mmu05230","mmu05230","Central carbon metabolism in cancer","25/1582","69/8997",0.000162414749660401,0.000573013835880517,0.000291981572423194,"11651/23797/14660/20525/15926/269951/16590/18746/16832/26413/26417/26395/26396/18597/68263/228026/18641/18642/56421/18648/56012/19211/110157/15461/16653",25
"mmu04925","mmu04925","Aldosterone synthesis and secretion","33/1582","102/8997",0.000201180182036442,0.000701895301771585,0.000357653656953674,"432530/224129/11512/11514/11515/11928/232975/11933/67972/11941/11908/12288/70405/269060/108058/14672/14682/14683/18747/18749/12322/12323/12325/12326/18750/18751/18754/18752/18795/18797/381290/320707/18798",33
"mmu00970","mmu00970","Aminoacyl-tRNA biosynthesis","24/1582","66/8997",0.000204660943951647,0.000706192707701287,0.000359843417936962,"229487/234734/224805/226539/67417/66590/15115/70791/105148/381314/85305/102436/70223/104458/109093/20226/71984/110960/272396/71807/22375/70560/107271/70120",24
"mmu04926","mmu04926","Relaxin signaling pathway","39/1582","129/8997",0.000277653561398237,0.000947643676946157,0.000482875758953456,"432530/224129/11512/11514/11515/11651/23797/14688/14693/14696/14702/14704/14708/14678/14679/14681/14683/14784/18747/18749/18750/26413/26417/26419/26420/26414/26395/26396/26398/26400/18795/18797/18798/110157/15461/16653/20418/17126/20662",39
"mmu04928","mmu04928","Parathyroid hormone synthesis, secretion and action","34/1582","108/8997",0.000290725571548242,0.00098158956415213,0.000500173026319557,"432530/224129/11512/11514/11515/16801/109880/14672/14674/14678/14679/14682/14683/18747/18749/18750/18751/18752/17258/17260/17261/26413/26417/26395/26941/18577/238871/18795/18797/11836/18578/18798/110157/11848",34
"mmu00230","mmu00230","Purine metabolism","40/1582","134/8997",0.00031286191972873,0.00104509194462576,0.000532530927197838,"76952/109674/432530/224129/11512/11514/11515/66401/66355/229363/16434/11636/11637/56248/11639/229949/14923/79059/18102/53893/74167/18573/18574/18575/18577/238871/18582/218461/72157/19139/14450/237823/67054/11564/108147/11565/11566/231327/234889/18578",40
"mmu04010","mmu04010","MAPK signaling pathway","75/1582","294/8997",0.000335843726407887,0.001105933037441,0.000563532757931718,"76089/17762/11651/23797/109880/12293/12286/12287/12288/12290/12295/12297/12298/19058/12300/54376/81905/12540/12929/72349/26940/13869/14164/18479/14784/15512/16180/18747/18749/16590/18750/18751/18752/20111/20112/56613/71751/26408/26409/26412/26921/17260/26413/26417/26419/26420/26414/26395/26396/26398/26399/26400/18212/224105/19055/19056/19042/19259/11836/218397/15507/19353/170758/110157/109905/215449/114713/15461/16653/66922/20662/16765/68652/216965/381921",75
"mmu05210","mmu05210","Colorectal cancer","29/1582","88/8997",0.000338119654759031,0.001105933037441,0.000563532757931718,"11651/23797/12005/11789/12028/109880/12387/72993/14784/56637/72508/26413/26417/26419/26420/26414/26395/26396/11836/19353/170758/110157/56044/64143/15461/16653/11848/17126/20662",29
"mmu04137","mmu04137","Mitophagy - animal","24/1582","68/8997",0.000344239696927858,0.00111434293644688,0.000567818056788219,"94044/12995/13000/66437/56484/93739/67414/214952/26419/26420/26414/66734/67443/72542/15461/16653/22186/66922/52440/66687/233204/56480/100756/84092",24
